,Forecast
2024-03-08 00:00:00,65.12401122941142
2024-03-08 01:00:00,52.77032501916653
2024-03-08 02:00:00,66.38787109530236
2024-03-08 03:00:00,65.2107393835544
2024-03-08 04:00:00,65.70820558792916
2024-03-08 05:00:00,66.26847116871463
2024-03-08 06:00:00,66.3334834685723
2024-03-08 07:00:00,59.94687825704845
2024-03-08 08:00:00,77.87957628590094
2024-03-08 09:00:00,64.70962234168222
2024-03-08 10:00:00,64.72835087488774
2024-03-08 11:00:00,65.6235973089598
2024-03-08 12:00:00,65.56001223177292
2024-03-08 13:00:00,53.08614254234518
2024-03-08 14:00:00,66.73893051381786
2024-03-08 15:00:00,65.34799225344912
2024-03-08 16:00:00,66.00427895652948
2024-03-08 17:00:00,66.57068188126796
2024-03-08 18:00:00,66.49582655952116
2024-03-08 19:00:00,60.23758636434986
2024-03-08 20:00:00,78.1184109196246
2024-03-08 21:00:00,64.93062007257947
2024-03-08 22:00:00,65.10629414887272
2024-03-08 23:00:00,65.87470626126564
2024-03-09 00:00:00,65.75326476007213
2024-03-09 01:00:00,53.411627996639936
2024-03-09 02:00:00,67.0109561980101
2024-03-09 03:00:00,65.66407903077597
2024-03-09 04:00:00,66.2798617100459
2024-03-09 05:00:00,66.84373403749446
2024-03-09 06:00:00,66.77665456822892
2024-03-09 07:00:00,60.52045288524537
2024-03-09 08:00:00,78.42083294845858
2024-03-09 09:00:00,65.22178767181445
2024-03-09 10:00:00,65.36105654950433
2024-03-09 11:00:00,66.16051959232608
2024-03-09 12:00:00,66.0411362112031
2024-03-09 13:00:00,53.65801878887928
2024-03-09 14:00:00,67.2771534247532
2024-03-09 15:00:00,65.9559865068747
2024-03-09 16:00:00,66.55671736955067
2024-03-09 17:00:00,67.12051050261373
2024-03-09 18:00:00,67.08120497611422
2024-03-09 19:00:00,60.79473819679584
2024-03-09 20:00:00,78.69674183267045
2024-03-09 21:00:00,65.50761220395167
2024-03-09 22:00:00,65.63012251347587
2024-03-09 23:00:00,66.44228031212849
2024-03-10 00:00:00,66.33498855736096
2024-03-10 01:00:00,53.943376522803916
2024-03-10 02:00:00,67.56436502700889
2024-03-10 03:00:00,66.21979240486927
2024-03-10 04:00:00,66.83757230394589
2024-03-10 05:00:00,67.40198238733996
2024-03-10 06:00:00,67.34645225837446
2024-03-10 07:00:00,61.07527380499921
2024-03-10 08:00:00,78.97198337755418
2024-03-10 09:00:00,65.78025341824345
2024-03-10 10:00:00,65.91976856197802
2024-03-10 11:00:00,66.71825476340591
2024-03-10 12:00:00,66.60420142853384
2024-03-10 13:00:00,54.22644778839046
2024-03-10 14:00:00,67.8419652791796
2024-03-10 15:00:00,66.50372535116927
2024-03-10 16:00:00,67.11605613509839
2024-03-10 17:00:00,67.68016313112929
2024-03-10 18:00:00,67.62675863375178
2024-03-10 19:00:00,61.35450861172707
2024-03-10 20:00:00,79.25360421432443
2024-03-10 21:00:00,66.06097175917935
2024-03-10 22:00:00,66.19544909391557
2024-03-10 23:00:00,66.99816280235014
2024-03-11 00:00:00,66.88487772805921
2024-03-11 01:00:00,54.50184379075685
2024-03-11 02:00:00,68.11978701479674
2024-03-11 03:00:00,66.78357609582659
2024-03-11 04:00:00,67.39486418835361
2024-03-11 05:00:00,67.95898857122575
2024-03-11 06:00:00,67.90816897642145
2024-03-11 07:00:00,61.632998453353565
2024-03-11 08:00:00,79.53205664002923
2024-03-11 09:00:00,66.34048550463622
2024-03-11 10:00:00,66.4737161314209
2024-03-11 11:00:00,67.27733994731676
2024-03-11 12:00:00,67.16519333145175
2024-03-11 13:00:00,54.781754735497834
2024-03-11 14:00:00,68.39968013686817
2024-03-11 15:00:00,67.0609724369328
2024-03-11 16:00:00,67.67404293914012
2024-03-11 17:00:00,68.23822722756431
2024-03-11 18:00:00,68.18557866709432
2024-03-11 19:00:00,61.91217197086379
2024-03-11 20:00:00,79.81070678974201
2024-03-11 21:00:00,66.61878859353031
2024-03-11 22:00:00,66.75381423911612
2024-03-11 23:00:00,67.55600257744793
2024-03-12 00:00:00,67.44308864132881
2024-03-12 01:00:00,55.061061970024554
2024-03-12 02:00:00,68.67844477306782
2024-03-12 03:00:00,67.34057495872683
2024-03-12 04:00:00,67.95295498939056
2024-03-12 05:00:00,68.51710414306206
2024-03-12 06:00:00,68.46481941929439
2024-03-12 07:00:00,62.191159140677414
2024-03-12 08:00:00,80.08997486974127
2024-03-12 09:00:00,66.89799584953563
2024-03-12 10:00:00,67.03237087635983
2024-03-12 11:00:00,67.835099282086
2024-03-12 12:00:00,67.72232570512388
2024-03-12 13:00:00,55.339656231221554
2024-03-12 14:00:00,68.95732549575514
2024-03-12 15:00:00,67.61958762473124
2024-03-12 16:00:00,68.23192151275663
2024-03-12 17:00:00,68.79607532403557
2024-03-12 18:00:00,68.7440173387374
2024-03-12 19:00:00,62.470087757104515
2024-03-12 20:00:00,80.36887635109903
2024-03-12 21:00:00,67.17700794724293
2024-03-12 22:00:00,67.31131322053221
2024-03-12 23:00:00,68.11408711994736
2024-03-13 00:00:00,68.00141506186279
2024-03-13 01:00:00,55.61875892344805
2024-03-13 02:00:00,69.23640253872489
2024-03-13 03:00:00,67.8984053690847
2024-03-13 04:00:00,68.51092036103894
2024-03-13 05:00:00,69.0750797416171
2024-03-13 06:00:00,69.02282096964603
2024-03-13 07:00:00,62.7490892445226
2024-03-13 08:00:00,80.64782805212744
2024-03-13 09:00:00,67.45591591363616
2024-03-13 10:00:00,67.59040551280117
2024-03-13 11:00:00,68.39303286424287
2024-03-13 12:00:00,68.28027603565157
2024-03-13 13:00:00,55.897759199445055
2024-03-13 14:00:00,69.51535099204185
2024-03-13 15:00:00,68.17745876160423
2024-03-13 16:00:00,68.78988999205299
2024-03-13 17:00:00,69.35404541432804
2024-03-13 18:00:00,69.3018395611045
2024-03-13 19:00:00,63.02806612608726
2024-03-13 20:00:00,80.92683701951745
2024-03-13 21:00:00,67.7349224774943
2024-03-13 22:00:00,67.86933200989951
2024-03-13 23:00:00,68.672025285116
2024-03-14 00:00:00,68.55928948072385
2024-03-14 01:00:00,56.17669710782565
2024-03-14 02:00:00,69.79432170804311
2024-03-14 03:00:00,68.45643385238954
2024-03-14 04:00:00,69.06886747561984
2024-03-14 05:00:00,69.63302369101486
2024-03-14 06:00:00,69.58083597575846
2024-03-14 07:00:00,63.30703923552754
2024-03-14 08:00:00,81.20580475603481
2024-03-14 09:00:00,68.01390141497386
2024-03-14 10:00:00,68.14831068413295
2024-03-14 11:00:00,68.9510029888216
2024-03-14 12:00:00,68.83827552793987
2024-03-14 13:00:00,56.455690777285746
2024-03-14 14:00:00,70.07331009217978
2024-03-14 15:00:00,68.73539608503582
2024-03-14 16:00:00,69.34784751933257
2024-03-14 17:00:00,69.91200422247859
2024-03-14 18:00:00,69.85979502748098
2024-03-14 19:00:00,63.58601990628562
2024-03-14 20:00:00,81.48478092345097
2024-03-14 21:00:00,68.29287229943772
2024-03-14 22:00:00,68.4272999214632
2024-03-14 23:00:00,69.22997773307584
2024-03-15 00:00:00,69.11724114645871
2024-03-15 01:00:00,56.73466961387394
2024-03-15 02:00:00,70.35228421561862
2024-03-15 03:00:00,69.01438282426678
2024-03-15 04:00:00,69.62682444404255
2024-03-15 05:00:00,70.19098071288694
